index,affiliation,application_type,prof_category_1,prof_category_2,employment_type,expected_experience,location,prof_name,subscr_product_name,gross_monthly_salary HUF,gross_monthly_salary EUR,language_nationality,language_level
3430,BKV Zrt.,karrierlink,Skilled Labour,Electrician,full time,not required,"Pest_county,_Budapest",Felsővezeték szerelő,start_prem,,,none,none
3431,Várkapitányság Integrált Területfejlesztési Központ Nonprofit Zrt.,website,"Manual Work, Unskilled Work, Trained Work","Housekeeper, Janitor, Daily Maid",full time,1-3 years,"Pest_county,_Budapest",Gondnok,optimum,,,none,none
3432,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
3434,AUDIOFON Kft.,website,"Client Services, Customer Services",Call Center Services,full time,1-3 years,"Pest_county,_Budapest",Call Center telefonos ügyintéző,optimum,,,english,basic
3435,MOHU BUDAPEST Zrt.,website,"Building Industry, Real Estate",Technical Preparatory,full time,3-5 years,"Pest_county,_Budapest",Műszaki előkészítő,optimum,,,english,intermediate
3436,Vision Recruitment Kft.,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,starter,Pest_county,Holland nyelvű Klinikai Adatkezelő Asszisztens,optimum,,,english,intermediate
3437,OTP Bank Nyrt.,karrierlink,"Administration, Assistance, Office Work",Professional Assistant,full time,not required,"Pest_county,_Budapest",Kutatási asszisztens,pro_plus,,,english,intermediate
3439,Emobility Solutions Kft.,website,"Administration, Assistance, Office Work",Professional Assistant,full time,1-3 years,"Pest_county,_Budapest",Executive / Financial Assistant,optimum_complex,,,english,intermediate
3440,DHL Supply Chain Mo. Kft.,karrierlink,"HR, Human Relations","HR Generalist, Specialist",full time,1-3 years,Pest_county,HR Processes and Business Continuity Specialist,optimum,,,english,higheradvanced
3441,ZOJA Gold Kft.,website,"Sales, Trade","Merchant, Shop Assistant",full time,1-3 years,"Pest_county,_Budapest",Ékszerbolti eladó,optimum_complex,681818.0,1691.8560794044665,none,none
3442,Két GYÖRGY Fivér Kft.,website,Skilled Labour,"Shop Assistant, Cashier",full time,1-3 years,"Pest_county,_Budapest",Bolti eladó,start_prem,,,none,none
3443,PetChef Hungary Kft.,website,"Finance, Accounting","Analyst, Advisor",full time,3-5 years,"Pest_county,_Budapest",Business Performance & Insights Analyst,optimum,,,english,higheradvanced
3445,REDBASKET Kft.,website,"Sales, Trade",Commercial Assistant,full time,1-3 years,"Pest_county,_Budapest",Üzletvezető,optimum,,,english,intermediate
3446,WHC Diák Iskolaszövetkezet,karrierlink,"Marketing,  Media, PR","Host, hostess",full time,starter,"Pest_county,_Budapest",VIP vendégváró hostess (WHC022831) - Diákmunka,normal,,,english,intermediate
3447,Trenkwalder,karrierlink,"IT Operation, Telecommunication","IT Support, Helpdesk",full time,1-3 years,"Pest_county,_Budapest",IT Support Specialist (German speaking),normal,,,english,intermediate
3448,MŰISZ Iskolaszövetkezet,karrierlink,Skilled Labour,"Storekeeper, Other depository skilled work",full time,not required,"Pest_county,_Budapest","Diákmunka - Termék előkészítő, válogató",normal,,,hungarian,nativespeaker
3449,MŰISZ Iskolaszövetkezet,karrierlink,"Sales, Trade",Regional Sales Representative,full time,not required,"Pest_county,_Budapest",Diákmunka - Sales representative (chemistry-related studies ),normal,,,english,intermediate
3450,MŰISZ Iskolaszövetkezet,karrierlink,"Bank, Insurance, Brokering","Bank, Insurance Agent",full time,not required,"Pest_county,_Budapest",Diákmunka - Tengeri Szállítmányozási Ügyintéző,normal,,,english,intermediate
3451,K&H BANK ZRT. (ICT),ats,"IT Operation, Telecommunication","System operator, Maintenance Staff",full time,1-3 years,"Pest_county,_Budapest",információbiztonsági koordinátor - szállítói kockázatok,optimum,,,english,intermediate
3452,MVM Services Zrt.,karrierlink,"HR, Human Relations","HR Generalist, Specialist",full time,5-10 years,"Pest_county,_Budapest",senior HRIS szakértő,pro_plus,,,none,none
3453,MAVIR Zrt.,ats,IT Development,System Manager,full time,1-3 years,"Pest_county,_Budapest",IT biztonsági architect,normal,,,none,none
3454,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
3456,Indotek Group,karrierlink,IT Development,Database Expert,full time,3-5 years,Pest_county,Data Engineer (Medior/Senior),optimum,,,none,none
3457,Menton Jobs,ats,IT Development,"Programmer, Developer",full time,starter,Pest_county,Fullstack Developer,optimum,,,none,none
3459,BKK Zrt.,karrierlink,Engineer,Transport Engineer,full time,3-5 years,Pest_county,Oktatási szakreferens,optimum,,,none,none
3460,VIG Befektetési Alapkezelő Magyarország Zrt.,ats,"Finance, Accounting",Project Management,full time,1-3 years,"Pest_county,_Budapest",IT projektmenedzser,normal,,,english,intermediate
3461,BIONIKA MEDLINE KFT,website,"Healthcare, Pharmaceutical Industry","Medical, Pharmaceutical Manager",full time,1-3 years,Országos,Értékesítési munkatárs,pro_plus,,,none,none
3462,WeMat Global,website,"Building Industry, Real Estate",Project Management,full time,3-5 years,"Pest_county,_Budapest",Site manager,pro_plus,,,english,intermediate
3463,Unix Autó Kft.,karrierlink,"Manufacturing, Production","Repairman, Service Representative",full time,not required,"Pest_county,_Budapest",Raktári karbantartó,optimum,,,none,none
3464,Közbeszerzési és Ellátási Főigazgatóság,website,"Finance, Accounting","Claim Management, Exacting",full time,not required,Budapest,Követeléskezelési pénzügyi főelőadó / referens,normal,,,none,none
3465,Közbeszerzési és Ellátási Főigazgatóság,website,"Finance, Accounting",Financial Assistant,full time,not required,Budapest,Kötelezettségkezelési pénzügyi főelőadó / referens,normal,,,none,none
3466,Közbeszerzési és Ellátási Főigazgatóság,website,"HR, Human Relations","Payroll Assistance, Social Insurance Assistance",full time,not required,Budapest,Illetmény-számfejtési főelőadó,normal,,,none,none
3467,Közbeszerzési és Ellátási Főigazgatóság,website,"HR, Human Relations",HR Administration,full time,3-5 years,"Pest_county,_Budapest",Humánpolitikai szakreferens,normal,,,none,none
3468,Huawei Technologies Hungary Kft.,website,"IT Operation, Telecommunication","IT Support, Helpdesk",full time,1-3 years,Pest_county,Senior Technical Support Engineer,optimum,,,english,higheradvanced
3469,MOL Magyar Olaj- és Gázipari Nyilvánosan Működő Részvénytársaság,karrierlink,"Finance, Accounting","Billing Assistant, Cashier",full time,1-3 years,Budapest,Invoicing Operation Expert,optimum,,,english,intermediate
3471,Benks-Hyper Kft.,website,"Sales, Trade",Financial Services Sales,full time,not required,Országos,Pénzügyi tanácsadó munkatárs,optimum,500000.0,1240.6947890818858,none,none
3472,INVIAIR Kft.,website,Skilled Labour,Other Skilled Work,full time,5-10 years,Pest_county,Klíma és légtechnika szerelő és karbantartó – Budapest és Pest Vármegye,pro_plus,1050000.0,2605.45905707196,english,basic
3473,STARK AUTÓ Kft.,website,Skilled Labour,"Car Repairer, Car Service  Advisor",full time,3-5 years,"Pest_county,_Budapest",Munkafelvevő,optimum,,,english,intermediate
3474,NMHH Nemzeti Média- és Hírközlési Hatóság,karrierlink,Public Administration,Officer,full time,not required,"Pest_county,_Budapest",Internet hotline elemző munkatárs,optimum,,,english,intermediate
3475,Mind-Diák Szövetkezet,ats,"Bank, Insurance, Brokering","Bank, Insurance Agent",full time,not required,Pest_county,Mobilalkalmazás Product Owner gyakornok - Diákmunka,normal,352800.0,875.4342431761787,none,none
3476,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
3478,Spangary investments kft,website,"Catering, Hotel, Tourism",Hotel Industry,full time,not required,"Pest_county,_Budapest",Pincér/ felszolgáló - /Waiter / Waitress,start_prem,534545.0,1326.4143920595534,english,intermediate
3479,Kühltech 94 Gmbh. Kft.,website,Skilled Labour,Air Conditioning Technician,full time,3-5 years,Pest_county,Klíma-légtechnika szerelő,start_prem,1090909.0,2706.970223325062,none,none
3480,Dámosy Ügyvédi Iroda,website,"Administration, Assistance, Office Work",Professional Assistant,full time,5-10 years,"Pest_county,_Budapest",Jogi asszisztens,optimum,,,english,higheradvanced
3481,Medscan Kft.,website,"Manual Work, Unskilled Work, Trained Work",Cleaning,full time,not required,"Pest_county,_Budapest",Szállodai takarító/takarítónő,start_prem,,,none,none
3482,PUPA HUNGARY Kft.,website,"Sales, Trade",Sales and Trade Manager,full time,1-3 years,"Pest_county,_Budapest",Üzletvezető / Store manager,normal,550000.0,1364.7642679900744,english,intermediate
3483,GP REPAIR Kft.,website,Skilled Labour,Other Skilled Work,full time,not required,Pest_county,Szervizes,start,606818.0,1505.7518610421837,none,none
3484,Melon HR Technology Kft.,website,"IT Operation, Telecommunication","IT Support, Helpdesk",full time,3-5 years,"Pest_county,_Budapest",IT specialist,optimum,900000.0,2233.2506203473945,english,higheradvanced
3486,Smart Solutions Consultancy Kft.,website,IT Development,"Tester, Test Engineer",full time,5-10 years,"Pest_county,_Budapest",Senior test manager,optimum,,,english,intermediate
3487,EcoFamily,karrierlink,"Marketing,  Media, PR","Marketing, Media, PR Manager",full time,5-10 years,Pest_county,Marketing vezető,optimum,,,english,higheradvanced
3488,Melon HR Technology Kft.,website,"Manufacturing, Production","Product Development, Design",full time,10+ years,"Pest_county,_Budapest",Gyártmánytervező,optimum,,,none,none
3489,Fürge Diák Iskolaszövetkezet,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,not required,"Pest_county,_Budapest",Adminisztratív gyakornok - Diákmunka,normal,386400.0,958.8089330024814,english,higheradvanced
3491,Fürge Diák Iskolaszövetkezet,website,"Sales, Trade",Commercial Assistant,full time,not required,"Pest_county,_Budapest",Sales gyakornok - Diákmunka,normal,386400.0,958.8089330024814,english,higheradvanced
3492,Altegio Europe Kft.,website,"Sales, Trade",Sales Representative,full time,starter,"Pest_county,_Budapest",Sales Development Representative / Sales Manager,optimum,,,english,higheradvanced
3493,Fürge Diák Iskolaszövetkezet,website,"HR, Human Relations",HR Administration,full time,not required,"Pest_county,_Budapest",HR gyakornok,normal,,,english,intermediate
3494,WHC Diák Iskolaszövetkezet,karrierlink,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,starter,"Pest_county,_Budapest",SZIGET FESZTIVÁL Tömegirányító diákmunka (WHC022921),normal,,,hungarian,higheradvanced
3495,WHC Diák Iskolaszövetkezet,karrierlink,Skilled Labour,"Waiter, Waitress, Barista",full time,starter,"Pest_county,_Budapest",Felszolgáló runner koncerten - MVM Dome (WHC022974) - Diákmunka,normal,,,none,none
3496,VIN President Hungary Kft.,website,Skilled Labour,"Car Repairer, Car Service  Advisor",full time,starter,"Pest_county,_Budapest",Eredetiségvizsgáló,start,757575.0,1879.8387096774193,none,none
3497,ALLIANZ HUNGÁRIA ZRT.,karrierlink,"Marketing,  Media, PR",Marketing,full time,5-10 years,"Pest_county,_Budapest",Senior marketingmenedzser,optimum,,,english,higheradvanced
3499,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
3500,TREBBIO Kft,website,Skilled Labour,"Waiter, Waitress, Barista",full time,not required,"Pest_county,_Budapest",Fagylalt pultos/fagylalt készítő,optimum,,,none,none
3501,MindentMent Kft.,website,"Marketing,  Media, PR",Marketing,full time,1-3 years,"Pest_county,_Budapest",Marketing asszisztens,optimum,,,english,intermediate
3502,Hinode Security Kft.,website,Skilled Labour,"Security Guard, Guard, Doorman",full time,not required,"Pest_county,_Budapest",Vagyonőr / portás,start_prem,,,none,none
3503,Magyar Bírósági Végrehajtói Kar,website,"Law, Legal Advisory","Law Clerk, Legal Assistant",full time,3-5 years,"Pest_county,_Budapest",Adminisztrációs szakreferens,optimum_complex,,,none,none
3504,SWEET WORLD Bt.,website,Skilled Labour,"Shop Assistant, Cashier",full time,1-3 years,"Pest_county,_Budapest",Cukrászdai eladó,start,545454.0,1353.483870967742,none,none
3505,ENGER Hungary Kft,website,Skilled Labour,Carpenter,full time,3-5 years,"Pest_county,_Budapest",Faipari táblafelosztógép kezelő,start,666666.0,1654.258064516129,none,none
3506,Agroinform Média Kft.,website,"Marketing,  Media, PR",Project Manager,full time,1-3 years,"Pest_county,_Budapest","Kampánymenedzser (2 éves, határozott idejű szerződéssel)",optimum_complex,,,english,intermediate
3507,SFL PACK DEPO Kft.,website,Skilled Labour,"Driver, Chauffeur, Courier",full time,1-3 years,"Pest_county,_Budapest",Gépkocsivezető,start_prem,,,none,none
3508,SFL PACK DEPO Kft.,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,1-3 years,"Pest_county,_Budapest",Műszaki adminisztrátor,optimum,,,none,none
3509,SFL PACK DEPO Kft.,website,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,1-3 years,"Pest_county,_Budapest",Raktáros,start_prem,,,none,none
3510,TATA Consultancy Services Hungary,website,IT Development,"Programmer, Developer",full time,3-5 years,Pest_county,Intermediate Backend Developer (Java),optimum,,,english,intermediate
3511,Normawood Kft.,website,"Manual Work, Unskilled Work, Trained Work",Kitchen Work,full time,1-3 years,"Pest_county,_Budapest",Mosogató,start_prem,,,none,none
3512,KRAFT FM Kft.,website,"Sales, Trade",Business (Intelligence) Developer,full time,3-5 years,"Pest_county,_Budapest",FM üzletszerző értékesítő (New business development associate),optimum,,,english,intermediate
3513,Nagy Faloda Kft.,website,Skilled Labour,Cook,full time,5-10 years,"Pest_county,_Budapest",Szakács,pro_plus,1071969.0,2659.9727047146403,none,none
3514,PROFITOUR Kft.,website,"Finance, Accounting",Accounting,full time,1-3 years,"Pest_county,_Budapest",Könyvelő,optimum,,,none,none
3515,H & M Hennes & Mauritz Kft.,karrierlink,Skilled Labour,"Shop Assistant, Cashier",full time,not required,"Pest_county,_Budapest",Eladó 40 óra (Aréna Pláza Budapest),pro_plus,,,none,none
3516,H & M Hennes & Mauritz Kft.,karrierlink,Skilled Labour,"Shop Assistant, Cashier",full time,not required,"Pest_county,_Budapest",Eladó 40 óra (Etele Pláza Budapest),pro_plus,,,none,none
3517,H & M Hennes & Mauritz Kft.,karrierlink,Skilled Labour,"Shop Assistant, Cashier",full time,not required,"Pest_county,_Budapest",Eladó 40 óra (Árkád Budapest),pro_plus,,,none,none
3518,CHIMPEX HUNGÁRIA Kft.,karrierlink,Skilled Labour,"Driver, Chauffeur, Courier",full time,3-5 years,Pest_county,Gépkocsivezető (B),start_prem,,,none,none
3519,Normawood Kft.,website,Skilled Labour,Cook,full time,starter,"Pest_county,_Budapest",Szakács,start_prem,,,none,none
3521,Búzakovász Kft.,website,Skilled Labour,"Baker, Confectioner",full time,not required,"Pest_county,_Budapest",PÉK / éjszakai műszak,start_prem,,,none,none
3522,Normawood Kft.,website,"Manual Work, Unskilled Work, Trained Work",Cleaning,full time,starter,"Pest_county,_Budapest",Szállodai tisztasági munkatárs,start_prem,,,none,none
3523,MŰISZ Iskolaszövetkezet,karrierlink,"IT Operation, Telecommunication",Network and System Engineer,full time,not required,"Pest_county,_Budapest",Diákmunka - Junior rendszermérnök,normal,,,hungarian,nativespeaker
